Grayscale intensity in dB


TIC Param Data,
,MGrad.:,MGT:,Grad.:,ArT:,TtoP:,PI:,TWH:,TWR:,AUC:,WiAUC:,WoAUC:,
Trace 1 :,17.4826,0.08316,3.27452,0.08316,2.91061,-37.6243,12.2245,0.0777982,22.5124,3.20934,19.303,
Trace 2 :,15.539,0.831601,5.18775,0.08316,0.997922,-34.9429,5.40541,0.0253763,-82.6696,-2.10189,-80.5677,
Trace 3 :,13.9914,34.9273,0.781482,0.08316,9.56342,-38.9634,29.2724,0.31091,24.8875,7.24871,17.6388,
Trace 4 :,14.0367,28.9397,0.306675,0.08316,15.9668,-38.5977,13.2225,0.655555,-8.474,-2.43348,-6.04051,
Trace 5 :,19.2498,0.08316,0.607248,0.08316,12.474,-35.9427,16.2994,0.44792,88.0337,26.9117,61.122,
Trace 6 :,42.0324,39.1684,0.427426,0.08316,39.3348,-45.3908,4.65697,39.8096,100.394,94.2112,6.18326,
Trace 7 :,34.4362,19.6258,0.732938,0.08316,19.709,-49.2096,1.74636,0.956102,-5.74702,-9.44252,3.6955,
Trace 8 :,10.94,26.5281,0.315804,0.08316,26.7776,-55.5857,2.16216,1.9769,50.3367,33.8817,16.455,

Start and End time Infomation
,Start time:,End time:
Trace 1 :,0.089134,40.4725,
Trace 2 :,0.089134,40.4725,
Trace 3 :,0.089134,40.4725,
Trace 4 :,0.089134,40.4725,
Trace 5 :,0.089134,40.4725,
Trace 6 :,0.089134,40.4725,
Trace 7 :,0.089134,40.4725,
Trace 8 :,0.089134,40.4725,

Sample Area Infomation
,Color:,Type:,Height:,Width:,Tilt angle:
Trace 1 :,Yellow,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 2 :,LightBlue,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 3 :,Red,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 4 :,Green,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 5 :,Orange,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 6 :,Purple,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 7 :,Gray,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 8 :,Blue,Ellipse,2.0 mm,2.0 mm,-27 deg

Trace settings
Smoothing Type:,Off
Motion Tracking:,Off


Time (s) :,Trace 1(Yellow):,Trace 2(LightBlue):,Trace 3(Red):,Trace 4(Green):,Trace 5(Orange):,Trace 6(Purple):,Trace 7(Gray):,Trace 8(Blue):,	Ecg :,		
0.14964   ,-4.71551e+01,-4.01199e+01,-4.64370e+01,-4.34943e+01,-4.35176e+01,-6.22035e+01,-6.36551e+01,-6.40422e+01,,         0.08913,-1.50000e+01,
0.23280   ,-5.00261e+01,-4.16149e+01,-5.04108e+01,-4.73301e+01,-4.26663e+01,-6.30923e+01,-6.33902e+01,-6.29727e+01,,         0.09080,-3.00000e+00,
0.31596   ,-4.51437e+01,-4.59168e+01,-5.07392e+01,-4.45923e+01,-4.06855e+01,-6.22603e+01,-6.44405e+01,-6.33286e+01,,         0.09247,9.00000e+00,
0.39912   ,-4.36800e+01,-4.03995e+01,-4.29047e+01,-4.26451e+01,-3.77781e+01,-6.29805e+01,-6.35022e+01,-6.24379e+01,,         0.09413,2.00000e+01,
0.48228   ,-4.42298e+01,-4.54751e+01,-4.41834e+01,-4.54107e+01,-4.29212e+01,-6.25351e+01,-6.52945e+01,-6.47431e+01,,         0.09580,3.00000e+01,
0.56544   ,-4.82355e+01,-3.92922e+01,-4.74639e+01,-4.42749e+01,-3.97088e+01,-6.32540e+01,-6.45694e+01,-6.45367e+01,,         0.09747,3.60000e+01,
0.64860   ,-4.73149e+01,-4.77166e+01,-4.50947e+01,-4.94135e+01,-4.25585e+01,-6.24874e+01,-6.46287e+01,-6.38962e+01,,         0.09913,4.00000e+01,
0.73176   ,-4.96296e+01,-4.27446e+01,-4.63043e+01,-4.40549e+01,-3.85461e+01,-6.15127e+01,-6.44701e+01,-6.31612e+01,,         0.10080,4.00000e+01,
0.81492   ,-4.58511e+01,-3.96546e+01,-4.72686e+01,-4.31705e+01,-3.93937e+01,-6.27245e+01,-6.47404e+01,-6.11466e+01,,         0.10247,3.70000e+01,
