Grayscale intensity in dB


TIC Param Data,
,MGrad.:,MGT:,Grad.:,ArT:,TtoP:,PI:,TWH:,TWR:,AUC:,WiAUC:,WoAUC:,
Trace 1 :,19.2264,7.6719,0.161481,0.095899,24.8857,-49.1523,32.9892,1.62672,-7.40461,-7.38248,-0.0221237,
Trace 2 :,59.4504,31.8863,0.105531,0.095899,38.4074,-41.145,26.6119,21.6215,-216.894,-207.725,-9.16905,
Trace 3 :,20.1567,10.9804,0.202725,0.095899,21.3854,-44.6285,31.6945,1.13762,-26.4314,-17.8188,-8.61256,
Trace 4 :,22.6048,17.022,0.114857,0.095899,26.468,-48.0721,17.1659,1.92976,-33.6489,-23.1521,-10.4968,
Trace 5 :,21.3484,29.9684,0.133292,0.095899,29.9684,-41.2095,13.5697,2.93363,-69.4761,-53.198,-16.2781,
Trace 6 :,21.7326,10.9804,0.211327,0.095899,17.6933,-48.5258,13.8574,0.786703,-48.9662,-24.7911,-24.1751,
Trace 7 :,11.3486,27.7147,0.123385,0.095899,33.9961,-48.3425,5.61008,5.49415,41.0916,33.6283,7.46329,
Trace 8 :,11.7393,9.30218,0.0461511,0.095899,32.0302,-48.7077,23.1116,3.92834,-29.6495,-22.4781,-7.17138,

Start and End time Infomation
,Start time:,End time:
Trace 1 :,0.095,40.3183,
Trace 2 :,0.095,40.3183,
Trace 3 :,0.095,40.3183,
Trace 4 :,0.095,40.3183,
Trace 5 :,0.095,40.3183,
Trace 6 :,0.095,40.3183,
Trace 7 :,0.095,40.3183,
Trace 8 :,0.095,40.3183,

Sample Area Infomation
,Color:,Type:,Height:,Width:,Tilt angle:
Trace 1 :,Yellow,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 2 :,LightBlue,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 3 :,Red,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 4 :,Green,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 5 :,Orange,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 6 :,Purple,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 7 :,Gray,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 8 :,Blue,Ellipse,2.0 mm,2.0 mm,-27 deg

Trace settings
Smoothing Type:,Off
Motion Tracking:,Off


Time (s) :,Trace 1(Yellow):,Trace 2(LightBlue):,Trace 3(Red):,Trace 4(Green):,Trace 5(Orange):,Trace 6(Purple):,Trace 7(Gray):,Trace 8(Blue):,	Ecg :,		
0.13454   ,-5.31708e+01,-4.51982e+01,-4.89639e+01,-5.11122e+01,-4.52040e+01,-5.22649e+01,-5.25371e+01,-5.01859e+01,,         0.09500,-1.70000e+01,
0.18249   ,-5.25462e+01,-4.65254e+01,-4.77772e+01,-5.05410e+01,-5.03059e+01,-5.40713e+01,-5.17772e+01,-5.09075e+01,,         0.09667,-2.00000e+00,
0.23044   ,-5.28146e+01,-5.08082e+01,-4.80944e+01,-5.03139e+01,-4.95888e+01,-5.21668e+01,-5.00360e+01,-5.19106e+01,,         0.09833,1.40000e+01,
0.27839   ,-5.14750e+01,-5.00099e+01,-4.89357e+01,-4.96326e+01,-4.74507e+01,-5.18609e+01,-5.04365e+01,-5.11548e+01,,         0.10000,2.90000e+01,
