Grayscale intensity in dB


TIC Param Data,
,MGrad.:,MGT:,Grad.:,ArT:,TtoP:,PI:,TWH:,TWR:,AUC:,WiAUC:,WoAUC:,
Trace 1 :,30.6675,11.5593,1.31042,0.166321,14.0541,-37.4295,30.6861,0.540238,381.919,130.057,251.862,
Trace 2 :,15.5825,5.57173,0.220503,0.166321,26.8607,-33.9847,9.14762,2.03368,-29.8375,-19.1543,-10.6832,
Trace 3 :,21.6747,17.8794,6.54993,0.166321,1.08108,-36.4489,13.3888,0.0277289,57.4021,2.89419,54.5079,
Trace 4 :,13.8441,26.1955,4.07615,0.166321,1.99584,-35.6455,16.3826,0.0524217,77.135,3.90176,73.2332,
Trace 5 :,14.5237,34.4283,0.164963,0.166321,33.763,-36.8423,19.4595,5.35441,-74.5301,-60.7367,-13.7934,
Trace 6 :,23.1028,27.6923,0.471222,0.166321,21.4553,-34.7229,28.4408,1.15268,114.589,59.4884,55.1006,
Trace 7 :,18.361,21.0395,0.984598,0.166321,5.07277,-36.3437,37.0894,0.144953,-9.77932,-3.20979,-6.56953,
Trace 8 :,17.8751,26.9439,0.543228,0.166321,9.23078,-38.8828,12.8067,0.299332,-49.7578,-16.295,-33.4628,

Start and End time Infomation
,Start time:,End time:
Trace 1 :,0.21,40.3083,
Trace 2 :,0.21,40.3083,
Trace 3 :,0.21,40.3083,
Trace 4 :,0.21,40.3083,
Trace 5 :,0.21,40.3083,
Trace 6 :,0.21,40.3083,
Trace 7 :,0.21,40.3083,
Trace 8 :,0.21,40.3083,

Sample Area Infomation
,Color:,Type:,Height:,Width:,Tilt angle:
Trace 1 :,Yellow,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 2 :,LightBlue,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 3 :,Red,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 4 :,Green,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 5 :,Orange,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 6 :,Purple,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 7 :,Gray,Ellipse,2.0 mm,2.0 mm,-27 deg
