Grayscale intensity in dB


TIC Param Data,
,MGrad.:,MGT:,Grad.:,ArT:,TtoP:,PI:,TWH:,TWR:,AUC:,WiAUC:,WoAUC:,
Trace 1 :,12.714,31.1019,1.0042,0.249481,4.90645,-37.1919,21.3722,0.140701,-43.2831,-3.80934,-39.4738,
Trace 2 :,14.7469,9.31394,0.0982981,0.249481,18.9605,-37.5615,16.4657,0.910806,-188.402,-83.7378,-104.664,
Trace 3 :,14.3888,22.4532,0.21792,0.249481,35.6757,-37.9634,5.65489,8.69695,80.8715,72.4523,8.41915,
Trace 4 :,11.103,8.89814,1.54826,0.249481,4.90645,-37.6384,10.5613,0.140701,37.2143,6.00776,31.2065,
Trace 5 :,12.5944,38.6695,0.180542,0.249481,34.0125,-35.2393,18.5447,5.89952,-7.19823,-6.33449,-0.863748,
Trace 6 :,20.0812,35.1767,0.197953,0.249481,34.262,-48.5152,14.9688,6.21159,-4.67188,-2.1963,-2.47558,
Trace 7 :,13.9114,28.1081,0.199508,0.249481,28.1081,-50.3058,4.65697,2.40865,-32.7293,-16.1824,-16.5469,
Trace 8 :,30.8301,9.3971,1.05473,0.249481,14.8857,-50.0877,23.0354,0.598007,205.632,101.265,104.367,

Start and End time Infomation
,Start time:,End time:
Trace 1 :,0.255,40.1017,
Trace 2 :,0.255,40.1017,
Trace 3 :,0.255,40.1017,
Trace 4 :,0.255,40.1017,
Trace 5 :,0.255,40.1017,
Trace 6 :,0.255,40.1017,
Trace 7 :,0.255,40.1017,
Trace 8 :,0.255,40.1017,

Sample Area Infomation
,Color:,Type:,Height:,Width:,Tilt angle:
Trace 1 :,Yellow,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 2 :,LightBlue,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 3 :,Red,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 4 :,Green,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 5 :,Orange,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 6 :,Purple,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 7 :,Gray,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 8 :,Blue,Ellipse,2.0 mm,2.0 mm,-27 deg

Trace settings
Smoothing Type:,Off
Motion Tracking:,Off


Time (s) :,Trace 1(Yellow):,Trace 2(LightBlue):,Trace 3(Red):,Trace 4(Green):,Trace 5(Orange):,Trace 6(Purple):,Trace 7(Gray):,Trace 8(Blue):,	Ecg :,		
0.32387   ,-4.21189e+01,-3.94252e+01,-4.57379e+01,-4.52349e+01,-4.13799e+01,-5.52974e+01,-5.59136e+01,-6.57880e+01,,         0.25667,-7.00000e+00,
0.40703   ,-4.55642e+01,-4.84285e+01,-4.88857e+01,-4.89970e+01,-4.32203e+01,-5.45744e+01,-5.72816e+01,-6.45811e+01,,         0.25833,9.00000e+00,
0.49019   ,-4.21395e+01,-4.34029e+01,-4.19910e+01,-4.33430e+01,-4.28438e+01,-5.51451e+01,-5.84344e+01,-6.28838e+01,,         0.26000,2.30000e+01,
0.57334   ,-4.03904e+01,-4.03606e+01,-4.13221e+01,-4.19391e+01,-4.02825e+01,-5.38393e+01,-5.50053e+01,-6.38994e+01,,         0.26167,3.50000e+01,
0.65650   ,-4.35242e+01,-4.35651e+01,-4.57977e+01,-4.31173e+01,-4.10558e+01,-5.48876e+01,-5.51809e+01,-6.36496e+01,,         0.26333,4.40000e+01,
0.73967   ,-3.79784e+01,-4.05836e+01,-4.16259e+01,-4.25055e+01,-3.76495e+01,-5.60971e+01,-5.69474e+01,-6.49361e+01,,         0.26500,4.90000e+01,
0.82283   ,-4.65123e+01,-4.56027e+01,-4.72729e+01,-4.53919e+01,-4.61079e+01,-5.56719e+01,-5.57556e+01,-6.56324e+01,,         0.26667,5.20000e+01,
0.90599   ,-4.66895e+01,-4.51674e+01,-4.68001e+01,-4.26496e+01,-4.11608e+01,-5.59824e+01,-5.65675e+01,-6.40656e+01,,         0.26833,5.10000e+01,
0.98915   ,-4.18172e+01,-4.21541e+01,-4.34453e+01,-4.13427e+01,-4.24205e+01,-5.62968e+01,-5.80044e+01,-6.44419e+01,,         0.27000,4.80000e+01,
1.07231   ,-4.14731e+01,-4.27626e+01,-4.18341e+01,-4.31356e+01,-4.18726e+01,-5.65327e+01,-5.66672e+01,-6.62565e+01,,         0.27167,4.40000e+01,
1.15547   ,-3.90349e+01,-3.92109e+01,-4.10191e+01,-3.98005e+01,-3.89233e+01,-5.54589e+01,-5.70006e+01,-6.45618e+01,,         0.27333,3.90000e+01,
1.23863   ,-4.54941e+01,-4.45059e+01,-4.49954e+01,-4.62130e+01,-4.20823e+01,-5.43956e+01,-5.66130e+01,-6.34276e+01,,         0.27500,3.30000e+01,
1.32179   ,-4.40190e+01,-4.80134e+01,-4.57792e+01,-4.20445e+01,-4.18197e+01,-5.45929e+01,-5.80301e+01,-6.26572e+01,,         0.27667,2.70000e+01,
1.40495   ,-4.13158e+01,-4.15331e+01,-4.09895e+01,-4.27955e+01,-4.07224e+01,-5.39643e+01,-5.88665e+01,-6.51340e+01,,         0.27833,2.10000e+01,
1.48811   ,-4.44197e+01,-4.68794e+01,-4.12756e+01,-4.48337e+01,-4.24756e+01,-5.38847e+01,-5.82294e+01,-6.35831e+01,,         0.28000,1.50000e+01,
1.57127   ,-4.07433e+01,-4.22847e+01,-4.10801e+01,-4.32693e+01,-4.13634e+01,-5.49678e+01,-5.87675e+01,-5.84725e+01,,         0.28167,8.00000e+00,
1.65443   ,-4.48868e+01,-4.35220e+01,-4.91365e+01,-4.86897e+01,-4.41858e+01,-5.44166e+01,-5.72035e+01,-5.99318e+01,,         0.28333,3.00000e+00,
1.73759   ,-4.50826e+01,-4.43093e+01,-4.04547e+01,-4.49375e+01,-4.22876e+01,-5.43565e+01,-5.61725e+01,-6.28590e+01,,         0.28500,-3.00000e+00,
1.82075   ,-4.07750e+01,-4.09749e+01,-4.37243e+01,-4.39447e+01,-3.99830e+01,-5.39461e+01,-5.63931e+01,-6.38335e+01,,         0.28667,-8.00000e+00,
1.90391   ,-4.34434e+01,-4.41017e+01,-4.41669e+01,-4.43876e+01,-3.81894e+01,-5.53738e+01,-5.69574e+01,-6.39968e+01,,         0.28833,-1.20000e+01,
1.98707   ,-4.04273e+01,-4.39855e+01,-4.02286e+01,-3.96019e+01,-3.85007e+01,-5.66171e+01,-5.56744e+01,-6.30618e+01,,         0.29000,-1.50000e+01,
2.07023   ,-4.62740e+01,-4.76588e+01,-4.48581e+01,-4.42658e+01,-4.31176e+01,-5.69923e+01,-5.51383e+01,-6.22265e+01,,         0.29167,-1.80000e+01,
2.15339   ,-4.39625e+01,-4.59212e+01,-4.37908e+01,-4.40251e+01,-4.27324e+01,-5.63406e+01,-5.61899e+01,-6.39749e+01,,         0.29333,-2.00000e+01,
2.23655   ,-3.89308e+01,-3.91813e+01,-4.32541e+01,-4.30909e+01,-3.73246e+01,-5.52577e+01,-5.63522e+01,-6.37213e+01,,         0.29500,-2.20000e+01,
2.31971   ,-4.04761e+01,-4.09930e+01,-4.60528e+01,-4.22006e+01,-4.35515e+01,-5.55022e+01,-5.70895e+01,-6.36995e+01,,         0.29667,-2.30000e+01,
2.40287   ,-3.95737e+01,-3.82834e+01,-4.30130e+01,-3.94191e+01,-3.97260e+01,-5.49974e+01,-5.69468e+01,-6.43423e+01,,         0.29833,-2.40000e+01,
2.48603   ,-4.64711e+01,-4.82670e+01,-4.80016e+01,-4.57237e+01,-4.50911e+01,-5.37118e+01,-5.82007e+01,-6.30359e+01,,         0.30000,-2.40000e+01,
