Grayscale intensity in dB


TIC Param Data,
,MGrad.:,MGT:,Grad.:,ArT:,TtoP:,PI:,TWH:,TWR:,AUC:,WiAUC:,WoAUC:,
Trace 1 :,16.1067,11.8919,0.308932,0.083161,19.9584,-39.2177,28.025,0.986943,-16.7716,-6.20538,-10.5662,
Trace 2 :,15.7375,34.0957,0.420551,0.083161,19.9584,-39.2858,4.32433,0.986943,47.4918,23.576,23.9158,
Trace 3 :,14.9796,1.41372,0.397516,0.083161,19.7921,-38.9406,27.4429,0.970735,37.7054,20.2762,17.4292,
Trace 4 :,17.6597,8.5655,0.620272,0.083161,12.0582,-37.9327,10.8108,0.428772,18.3044,3.1373,15.1671,
Trace 5 :,15.4843,9.23078,0.137932,0.083161,31.0187,-40.6372,15.9667,3.38552,-82.0279,-58.0321,-23.9958,
Trace 6 :,19.4039,24.7817,1.59882,0.083161,7.48441,-47.3932,21.0395,0.228906,135.99,27.9333,108.056,
Trace 7 :,6.76497,19.4595,0.0948264,0.083161,38.8358,-59.5649,7.90022,28.8715,49.8022,47.6006,2.20159,
Trace 8 :,12.6922,36.0915,0.406798,0.083161,6.48649,-50.496,17.0478,0.192509,-54.4635,-6.33005,-48.1334,

Start and End time Infomation
,Start time:,End time:
Trace 1 :,0.138333,40.3383,
Trace 2 :,0.138333,40.3383,
Trace 3 :,0.138333,40.3383,
Trace 4 :,0.138333,40.3383,
Trace 5 :,0.138333,40.3383,
Trace 6 :,0.138333,40.3383,
Trace 7 :,0.138333,40.3383,
Trace 8 :,0.138333,40.3383,

Sample Area Infomation
,Color:,Type:,Height:,Width:,Tilt angle:
Trace 1 :,Yellow,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 2 :,LightBlue,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 3 :,Red,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 4 :,Green,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 5 :,Orange,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 6 :,Purple,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 7 :,Gray,Ellipse,2.0 mm,2.0 mm,-27 deg
Trace 8 :,Blue,Ellipse,2.0 mm,2.0 mm,-27 deg

Trace settings
Smoothing Type:,Off
Motion Tracking:,Off


Time (s) :,Trace 1(Yellow):,Trace 2(LightBlue):,Trace 3(Red):,Trace 4(Green):,Trace 5(Orange):,Trace 6(Purple):,Trace 7(Gray):,Trace 8(Blue):,	Ecg :,		
0.15742   ,-4.53835e+01,-4.76794e+01,-4.68082e+01,-4.54121e+01,-4.49157e+01,-5.93594e+01,-6.32476e+01,-5.31347e+01,,         0.13833,3.70000e+01,
0.24058   ,-4.93100e+01,-5.07890e+01,-5.06500e+01,-4.84748e+01,-5.06620e+01,-5.95372e+01,-6.11725e+01,-5.51346e+01,,         0.14000,1.70000e+01,
0.32374   ,-4.95560e+01,-4.66706e+01,-4.92265e+01,-4.64795e+01,-5.00462e+01,-5.84216e+01,-6.26146e+01,-5.32919e+01,,         0.14167,-4.00000e+00,
0.40690   ,-4.28208e+01,-4.60757e+01,-4.47218e+01,-4.32051e+01,-4.40025e+01,-5.99171e+01,-6.22840e+01,-5.36959e+01,,         0.14333,-2.50000e+01,
0.49006   ,-4.06511e+01,-4.28830e+01,-4.13263e+01,-4.15006e+01,-4.55141e+01,-5.68819e+01,-6.23370e+01,-5.36158e+01,,         0.14500,-4.50000e+01,
0.57322   ,-4.78418e+01,-4.69129e+01,-5.05309e+01,-4.72929e+01,-4.96898e+01,-5.90905e+01,-6.30322e+01,-5.36662e+01,,         0.14667,-6.10000e+01,
0.65638   ,-4.78265e+01,-4.73790e+01,-4.64011e+01,-4.74257e+01,-5.05474e+01,-5.93784e+01,-6.31204e+01,-5.29520e+01,,         0.14833,-7.40000e+01,
0.73954   ,-4.40276e+01,-4.66426e+01,-4.71614e+01,-4.35261e+01,-4.39276e+01,-5.92310e+01,-6.26127e+01,-5.35285e+01,,         0.15000,-8.30000e+01,
0.82270   ,-4.37509e+01,-4.87127e+01,-4.52873e+01,-4.03215e+01,-4.42033e+01,-5.95411e+01,-6.28150e+01,-5.40730e+01,,         0.15167,-8.70000e+01,
0.90586   ,-5.22603e+01,-5.19898e+01,-4.99398e+01,-5.13483e+01,-5.40539e+01,-5.96942e+01,-6.39999e+01,-5.34054e+01,,         0.15333,-8.90000e+01,
0.98902   ,-5.12756e+01,-5.12230e+01,-4.98709e+01,-4.73105e+01,-5.02329e+01,-5.91814e+01,-6.25762e+01,-5.35337e+01,,         0.15500,-8.80000e+01,
1.07218   ,-4.39672e+01,-4.50473e+01,-4.51567e+01,-4.28948e+01,-4.50433e+01,-5.79900e+01,-6.33859e+01,-5.35207e+01,,         0.15667,-8.60000e+01,
1.15534   ,-4.31568e+01,-4.57353e+01,-4.47409e+01,-4.30647e+01,-4.46305e+01,-5.71553e+01,-6.28271e+01,-5.32973e+01,,         0.15833,-8.20000e+01,
1.23850   ,-5.02370e+01,-5.06172e+01,-5.40050e+01,-5.06667e+01,-5.05211e+01,-5.58235e+01,-6.19684e+01,-5.29881e+01,,         0.16000,-7.70000e+01,
1.32166   ,-5.04977e+01,-4.89945e+01,-4.97512e+01,-4.90596e+01,-4.78590e+01,-5.37552e+01,-6.23251e+01,-5.35038e+01,,         0.16167,-7.20000e+01,
