Grayscale intensity in dB


TIC Param Data,
,MGrad.:,MGT:,Grad.:,ArT:,TtoP:,PI:,TWH:,TWR:,AUC:,WiAUC:,WoAUC:,
Trace 1 :,46.9029,18.9003,0.200134,0.19895,21.7519,-42.8739,20.2266,1.19833,-128.73,-68.9552,-59.7747,
Trace 2 :,43.2009,16.4797,1.96535,0.19895,3.81322,-42.1374,4.84113,0.105657,65.7558,5.54503,60.2107,
Trace 3 :,36.1183,21.7188,0.549803,0.19895,8.42223,-45.7137,13.0644,0.26753,-17.9806,-7.18328,-10.7973,
Trace 4 :,34.1727,30.1741,0.206691,0.19895,23.8077,-46.3741,14.2581,1.47911,-5.61191,-9.30187,3.68996,
Trace 5 :,44.2273,9.8812,0.240068,0.19895,29.511,-50.1744,25.333,2.83957,-90.2682,-76.8721,-13.396,
Trace 6 :,38.5654,39.6574,1.59532,0.19895,3.81322,-39.1229,28.6489,0.105657,21.4791,0.740737,20.7384,
Trace 7 :,35.1637,4.1448,12.8682,0.19895,0.331584,-46.7663,3.08373,0.00837923,-71.6067,-0.0389008,-71.5678,
Trace 8 :,49.0209,5.30534,0.240614,0.19895,30.141,-48.2805,24.4046,3.08735,-64.3926,-67.3407,2.94811,

Start and End time Infomation
,Start time:,End time:
Trace 1 :,0.22,40.1267,
Trace 2 :,0.22,40.1267,
Trace 3 :,0.22,40.1267,
Trace 4 :,0.22,40.1267,
Trace 5 :,0.22,40.1267,
Trace 6 :,0.22,40.1267,
Trace 7 :,0.22,40.1267,
Trace 8 :,0.22,40.1267,

Sample Area Infomation
,Color:,Type:,Height:,Width:,Tilt angle:
Trace 1 :,Yellow,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 2 :,LightBlue,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 3 :,Red,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 4 :,Green,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 5 :,Orange,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 6 :,Purple,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 7 :,Gray,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 8 :,Blue,Ellipse,1.0 mm,1.0 mm,-27 deg

Trace settings
Smoothing Type:,Off
Motion Tracking:,Off


Time (s) :,Trace 1(Yellow):,Trace 2(LightBlue):,Trace 3(Red):,Trace 4(Green):,Trace 5(Orange):,Trace 6(Purple):,Trace 7(Gray):,Trace 8(Blue):,	Ecg :,		
0.22294   ,-4.72273e+01,-4.96317e+01,-5.03443e+01,-5.12950e+01,-5.72590e+01,-4.52061e+01,-5.10332e+01,-5.55328e+01,,         0.22167,1.40000e+01,
0.25610   ,-5.25227e+01,-4.86773e+01,-4.93672e+01,-5.01454e+01,-6.15394e+01,-4.54958e+01,-5.11593e+01,-6.25181e+01,,         0.22333,-8.00000e+00,
0.28925   ,-5.34214e+01,-4.99991e+01,-5.19288e+01,-5.18085e+01,-6.24002e+01,-4.49051e+01,-5.38300e+01,-5.78751e+01,,         0.22500,-2.80000e+01,
0.32241   ,-5.06573e+01,-5.22951e+01,-5.22869e+01,-5.20629e+01,-5.94859e+01,-4.53769e+01,-5.42552e+01,-5.59782e+01,,         0.22667,-4.50000e+01,
0.35557   ,-4.65319e+01,-5.23480e+01,-5.36310e+01,-5.17650e+01,-6.29435e+01,-4.56895e+01,-5.41188e+01,-5.35048e+01,,         0.22833,-5.70000e+01,
0.38873   ,-4.94724e+01,-4.84752e+01,-4.96350e+01,-5.04903e+01,-5.76862e+01,-4.65406e+01,-5.00960e+01,-5.96454e+01,,         0.23000,-6.70000e+01,
0.42189   ,-5.17473e+01,-4.77456e+01,-5.03831e+01,-5.14900e+01,-5.23789e+01,-4.64766e+01,-4.99308e+01,-6.08217e+01,,         0.23167,-7.20000e+01,
0.45505   ,-5.20704e+01,-4.67490e+01,-5.24153e+01,-5.13481e+01,-6.05248e+01,-4.51550e+01,-4.76777e+01,-5.83254e+01,,         0.23333,-7.40000e+01,
0.48821   ,-5.16469e+01,-4.69450e+01,-5.19951e+01,-5.08771e+01,-6.14064e+01,-4.66451e+01,-5.10822e+01,-5.87788e+01,,         0.23500,-7.40000e+01,
0.52136   ,-4.47053e+01,-4.64939e+01,-5.08061e+01,-5.11497e+01,-6.04231e+01,-4.43860e+01,-5.04552e+01,-5.72267e+01,,         0.23667,-7.10000e+01,
0.55452   ,-5.12336e+01,-4.88099e+01,-5.36928e+01,-5.13176e+01,-5.93829e+01,-4.53627e+01,-4.67663e+01,-5.81448e+01,,         0.23833,-6.80000e+01,
0.58768   ,-5.07142e+01,-4.92829e+01,-5.20639e+01,-5.22575e+01,-5.36746e+01,-4.67359e+01,-5.40062e+01,-5.55117e+01,,         0.24000,-6.40000e+01,
0.62084   ,-4.98611e+01,-4.61651e+01,-5.35584e+01,-5.15384e+01,-5.45744e+01,-4.68707e+01,-4.98638e+01,-5.53041e+01,,         0.24167,-5.90000e+01,
0.65400   ,-4.56544e+01,-4.61174e+01,-5.18186e+01,-5.29136e+01,-6.15723e+01,-4.52408e+01,-5.16657e+01,-5.78520e+01,,         0.24333,-5.40000e+01,
0.68716   ,-5.05296e+01,-4.44737e+01,-5.31287e+01,-5.25897e+01,-5.96677e+01,-4.51244e+01,-5.07658e+01,-5.64633e+01,,         0.24500,-4.90000e+01,
0.72031   ,-4.87103e+01,-4.44125e+01,-5.35492e+01,-5.26444e+01,-5.85977e+01,-4.46523e+01,-5.25928e+01,-5.69802e+01,,         0.24667,-4.50000e+01,
0.75347   ,-4.87684e+01,-4.42214e+01,-5.42082e+01,-5.16570e+01,-6.01168e+01,-4.31390e+01,-5.32003e+01,-5.54635e+01,,         0.24833,-4.10000e+01,
0.78663   ,-5.24127e+01,-4.25923e+01,-5.29083e+01,-4.97216e+01,-6.06209e+01,-4.08055e+01,-5.28293e+01,-5.77565e+01,,         0.25000,-3.70000e+01,
0.81979   ,-5.26997e+01,-4.25272e+01,-5.39650e+01,-5.04288e+01,-5.80611e+01,-3.94251e+01,-5.84505e+01,-5.57967e+01,,         0.25167,-3.40000e+01,
0.85295   ,-5.00473e+01,-4.40717e+01,-5.32250e+01,-5.10007e+01,-5.73418e+01,-4.07614e+01,-5.46169e+01,-5.47621e+01,,         0.25333,-3.10000e+01,
0.88611   ,-4.82554e+01,-4.41515e+01,-5.35843e+01,-5.23556e+01,-5.81021e+01,-4.10862e+01,-5.55352e+01,-5.59854e+01,,         0.25500,-2.80000e+01,
0.91927   ,-4.99107e+01,-4.34058e+01,-5.19208e+01,-5.30715e+01,-5.99605e+01,-4.09645e+01,-5.54115e+01,-4.92974e+01,,         0.25667,-2.60000e+01,
0.95242   ,-5.26671e+01,-4.59221e+01,-5.48892e+01,-5.26316e+01,-5.72949e+01,-4.31582e+01,-5.20024e+01,-5.62217e+01,,         0.25833,-2.40000e+01,
0.98558   ,-4.91787e+01,-4.84561e+01,-5.28431e+01,-5.36662e+01,-5.64380e+01,-4.84248e+01,-5.50795e+01,-5.11901e+01,,         0.26000,-2.20000e+01,
1.01874   ,-5.44959e+01,-4.77176e+01,-4.93610e+01,-5.30355e+01,-6.11641e+01,-4.73432e+01,-5.33018e+01,-5.83209e+01,,         0.26167,-2.00000e+01,
1.05190   ,-5.51900e+01,-4.97615e+01,-4.92511e+01,-5.33382e+01,-6.14529e+01,-4.53461e+01,-5.62066e+01,-5.89730e+01,,         0.26333,-1.80000e+01,
1.08506   ,-5.34422e+01,-4.83718e+01,-5.18858e+01,-5.36935e+01,-6.00066e+01,-4.59754e+01,-5.39016e+01,-5.57048e+01,,         0.26500,-1.60000e+01,
1.11822   ,-5.06458e+01,-5.10425e+01,-5.17082e+01,-5.08513e+01,-5.86753e+01,-4.44773e+01,-5.23033e+01,-5.50800e+01,,         0.26667,-1.40000e+01,
1.15137   ,-5.02564e+01,-5.13115e+01,-5.03751e+01,-5.05790e+01,-5.96942e+01,-4.60623e+01,-5.05963e+01,-5.39733e+01,,         0.26833,-1.30000e+01,
1.18453   ,-5.01955e+01,-4.96362e+01,-4.99338e+01,-4.96243e+01,-5.79277e+01,-4.68689e+01,-5.01592e+01,-6.10885e+01,,         0.27000,-1.10000e+01,
1.21769   ,-5.54243e+01,-5.01771e+01,-5.00997e+01,-4.82061e+01,-5.83951e+01,-4.75125e+01,-5.10623e+01,-5.59513e+01,,         0.27167,-9.00000e+00,
1.25085   ,-4.78970e+01,-4.91939e+01,-4.97048e+01,-5.07550e+01,-5.91788e+01,-4.65844e+01,-5.10992e+01,-6.01214e+01,,         0.27333,-7.00000e+00,
1.28401   ,-4.99399e+01,-4.80640e+01,-4.88178e+01,-5.03449e+01,-5.83567e+01,-4.65284e+01,-5.11990e+01,-5.86874e+01,,         0.27500,-6.00000e+00,
