Grayscale intensity in dB


TIC Param Data,
,MGrad.:,MGT:,Grad.:,ArT:,TtoP:,PI:,TWH:,TWR:,AUC:,WiAUC:,WoAUC:,
Trace 1 :,34.2143,15.7076,5.27241,0.175831,1.64109,-44.0663,34.5801,0.0426465,-29.7624,0.0868911,-29.8493,
Trace 2 :,35.59,40.2653,0.494299,0.175831,3.3994,-46.5156,9.90516,0.0925688,-313.099,-17.8503,-295.249,
Trace 3 :,32.9145,25.3197,0.329949,0.175831,17.7003,-47.3563,32.646,0.789416,-30.8966,-23.4808,-7.41582,
Trace 4 :,39.1575,5.27494,3.18539,0.175831,3.63384,-45.3357,33.9354,0.0995886,155.942,8.2181,147.724,
Trace 5 :,33.9454,18.1692,1.89041,0.175831,7.38491,-49.8657,3.69246,0.22558,147.719,27.9656,119.754,
Trace 6 :,25.3381,24.7336,0.22482,0.175831,25.0853,-42.6606,15.0043,1.66822,9.4049,13.5601,-4.15519,
Trace 7 :,22.898,7.15047,0.953037,0.175831,7.9124,-49.9029,23.8544,0.24565,9.31882,5.06897,4.24985,
Trace 8 :,30.6271,24.7336,0.192232,0.175831,37.7451,-49.8333,35.4007,15.8772,-130.077,-123.006,-7.07124,

Start and End time Infomation
,Start time:,End time:
Trace 1 :,0.186667,40.3467,
Trace 2 :,0.186667,40.3467,
Trace 3 :,0.186667,40.3467,
Trace 4 :,0.186667,40.3467,
Trace 5 :,0.186667,40.3467,
Trace 6 :,0.186667,40.3467,
Trace 7 :,0.186667,40.3467,
Trace 8 :,0.186667,40.3467,

Sample Area Infomation
,Color:,Type:,Height:,Width:,Tilt angle:
Trace 1 :,Yellow,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 2 :,LightBlue,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 3 :,Red,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 4 :,Green,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 5 :,Orange,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 6 :,Purple,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 7 :,Gray,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 8 :,Blue,Ellipse,1.0 mm,1.0 mm,-27 deg

Trace settings
Smoothing Type:,Off
Motion Tracking:,Off


Time (s) :,Trace 1(Yellow):,Trace 2(LightBlue):,Trace 3(Red):,Trace 4(Green):,Trace 5(Orange):,Trace 6(Purple):,Trace 7(Gray):,Trace 8(Blue):,	Ecg :,		
0.22426   ,-5.27188e+01,-4.81959e+01,-5.31965e+01,-5.69109e+01,-6.38262e+01,-4.83003e+01,-5.74437e+01,-5.70891e+01,,         0.18833,-5.00000e+00,
0.28287   ,-5.51331e+01,-4.86695e+01,-5.73263e+01,-5.07610e+01,-5.98873e+01,-5.15061e+01,-6.24324e+01,-6.05175e+01,,         0.19000,-2.50000e+01,
0.34148   ,-5.49409e+01,-5.20059e+01,-5.14681e+01,-5.14666e+01,-5.61954e+01,-4.77845e+01,-5.91432e+01,-6.14868e+01,,         0.19167,-4.30000e+01,
0.40009   ,-4.83056e+01,-5.08172e+01,-5.43189e+01,-5.46343e+01,-6.08889e+01,-5.27345e+01,-5.87954e+01,-5.83944e+01,,         0.19333,-5.80000e+01,
0.45870   ,-6.00718e+01,-5.20964e+01,-6.22222e+01,-5.03253e+01,-5.75286e+01,-4.84444e+01,-5.83661e+01,-5.67767e+01,,         0.19500,-6.90000e+01,
0.51731   ,-5.80151e+01,-5.68283e+01,-6.22963e+01,-5.10901e+01,-6.01242e+01,-5.17159e+01,-5.62659e+01,-6.33444e+01,,         0.19667,-7.70000e+01,
0.57592   ,-5.56602e+01,-4.80053e+01,-5.68890e+01,-5.24892e+01,-6.18036e+01,-5.14430e+01,-5.73292e+01,-5.99227e+01,,         0.19833,-8.20000e+01,
0.63453   ,-4.44994e+01,-4.86908e+01,-5.50576e+01,-4.91850e+01,-6.15955e+01,-5.02432e+01,-5.73864e+01,-6.55389e+01,,         0.20000,-8.40000e+01,
0.69314   ,-5.64927e+01,-5.20933e+01,-5.52867e+01,-5.20567e+01,-6.41122e+01,-4.53210e+01,-5.79115e+01,-6.40878e+01,,         0.20167,-8.40000e+01,
0.75175   ,-5.06052e+01,-5.38064e+01,-5.60166e+01,-5.56555e+01,-5.95318e+01,-4.53549e+01,-5.70440e+01,-6.42059e+01,,         0.20333,-8.20000e+01,
0.81036   ,-5.81009e+01,-5.69274e+01,-5.59654e+01,-5.77838e+01,-6.22679e+01,-4.67802e+01,-5.68989e+01,-6.27944e+01,,         0.20500,-7.80000e+01,
0.86897   ,-6.01219e+01,-6.11109e+01,-5.37641e+01,-5.79044e+01,-6.63909e+01,-4.71475e+01,-5.99630e+01,-6.25226e+01,,         0.20667,-7.40000e+01,
0.92758   ,-5.06989e+01,-5.58044e+01,-5.10858e+01,-4.95751e+01,-5.78725e+01,-4.85873e+01,-5.80273e+01,-5.68059e+01,,         0.20833,-7.00000e+01,
0.98619   ,-5.35830e+01,-5.39402e+01,-5.15751e+01,-4.97018e+01,-6.22006e+01,-4.66522e+01,-5.58266e+01,-6.48318e+01,,         0.21000,-6.50000e+01,
1.04480   ,-5.35526e+01,-5.43622e+01,-6.11606e+01,-5.72273e+01,-6.00712e+01,-4.91307e+01,-5.64353e+01,-6.17015e+01,,         0.21167,-6.10000e+01,
1.10341   ,-5.22336e+01,-5.28149e+01,-5.21301e+01,-5.89327e+01,-6.41527e+01,-4.57320e+01,-5.77207e+01,-5.68534e+01,,         0.21333,-5.60000e+01,
1.16202   ,-4.88829e+01,-5.64045e+01,-5.12008e+01,-5.86093e+01,-5.57947e+01,-4.62767e+01,-5.84870e+01,-6.27573e+01,,         0.21500,-5.20000e+01,
1.22063   ,-5.22198e+01,-5.47905e+01,-5.38453e+01,-5.32007e+01,-5.68238e+01,-4.47901e+01,-5.73094e+01,-6.14791e+01,,         0.21667,-4.80000e+01,
1.27924   ,-4.84187e+01,-5.59953e+01,-5.62792e+01,-6.11801e+01,-5.93756e+01,-4.78893e+01,-5.68609e+01,-5.80716e+01,,         0.21833,-4.40000e+01,
1.33785   ,-5.09217e+01,-5.43914e+01,-5.51060e+01,-5.58587e+01,-5.73961e+01,-4.77632e+01,-5.65454e+01,-6.27142e+01,,         0.22000,-4.00000e+01,
1.39646   ,-5.24076e+01,-5.23822e+01,-5.40673e+01,-5.26189e+01,-5.68214e+01,-4.93383e+01,-5.42557e+01,-5.94962e+01,,         0.22167,-3.70000e+01,
1.45508   ,-5.03435e+01,-5.98699e+01,-5.32032e+01,-5.45826e+01,-5.55874e+01,-4.93073e+01,-6.03527e+01,-5.65259e+01,,         0.22333,-3.40000e+01,
1.51369   ,-5.39721e+01,-5.43541e+01,-5.49340e+01,-5.74602e+01,-6.11179e+01,-4.83670e+01,-6.03092e+01,-6.27543e+01,,         0.22500,-3.10000e+01,
1.57230   ,-5.48180e+01,-5.59613e+01,-5.50770e+01,-5.60100e+01,-6.20147e+01,-4.39720e+01,-5.81024e+01,-5.32708e+01,,         0.22667,-2.80000e+01,
1.63091   ,-4.77188e+01,-5.20771e+01,-5.18816e+01,-5.47544e+01,-6.03174e+01,-4.92077e+01,-5.70236e+01,-6.22480e+01,,         0.22833,-2.60000e+01,
1.68952   ,-5.04533e+01,-4.96383e+01,-5.10505e+01,-6.09506e+01,-5.79694e+01,-4.89967e+01,-5.99507e+01,-5.91881e+01,,         0.23000,-2.40000e+01,
