Grayscale intensity in dB


TIC Param Data,
,MGrad.:,MGT:,Grad.:,ArT:,TtoP:,PI:,TWH:,TWR:,AUC:,WiAUC:,WoAUC:,
Trace 1 :,48.2985,28.9141,0.217783,0.198951,36.5737,-48.3701,15.0871,10.4206,106.914,93.1835,13.7305,
Trace 2 :,54.8193,26.9246,0.320936,0.198951,12.9318,-46.6196,17.3087,0.476279,-101.946,-24.9253,-77.021,
Trace 3 :,44.2331,19.6629,7.46941,0.198951,0.961593,-46.8365,1.09423,0.0245794,89.0382,2.37104,86.6672,
Trace 4 :,43.9042,24.073,0.35834,0.198951,25.7641,-45.2623,19.4971,1.79924,-42.7539,-41.5054,-1.24849,
Trace 5 :,48.7698,0.762643,0.413349,0.198951,21.7188,-40.5882,7.46064,1.18263,166.642,88.3762,78.2658,
Trace 6 :,34.3602,14.855,0.667602,0.198951,3.68058,-49.6278,36.1095,0.101107,-96.3173,-7.70007,-88.6172,
Trace 7 :,50.5471,32.4621,34.0703,0.198951,0.232108,-44.8464,1.65792,0.00582434,1.30113,0.575649,0.725478,
Trace 8 :,47.4551,16.8776,16.9845,0.198951,0.3979,-46.5841,15.0871,0.0100263,-86.7853,0.466917,-87.2522,

Start and End time Infomation
,Start time:,End time:
Trace 1 :,0.198333,40.3067,
Trace 2 :,0.198333,40.3067,
Trace 3 :,0.198333,40.3067,
Trace 4 :,0.198333,40.3067,
Trace 5 :,0.198333,40.3067,
Trace 6 :,0.198333,40.3067,
Trace 7 :,0.198333,40.3067,
Trace 8 :,0.198333,40.3067,

Sample Area Infomation
,Color:,Type:,Height:,Width:,Tilt angle:
Trace 1 :,LightBlue,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 2 :,Red,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 3 :,Green,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 4 :,Orange,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 5 :,Yellow,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 6 :,Purple,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 7 :,Gray,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 8 :,Blue,Ellipse,1.0 mm,1.0 mm,-27 deg

Trace settings
Smoothing Type:,Off
Motion Tracking:,Off


Time (s) :,Trace 1(LightBlue):,Trace 2(Red):,Trace 3(Green):,Trace 4(Orange):,Trace 5(Yellow):,Trace 6(Purple):,Trace 7(Gray):,Trace 8(Blue):,	Ecg :,		
0.22319   ,-5.63352e+01,-5.07698e+01,-5.40190e+01,-5.44946e+01,-4.95657e+01,-5.20850e+01,-5.27543e+01,-5.33422e+01,,         0.20000,-5.00000e+00,
0.25635   ,-5.59491e+01,-5.47740e+01,-5.35298e+01,-5.89561e+01,-4.73174e+01,-5.15507e+01,-5.36077e+01,-5.29840e+01,,         0.20167,-2.70000e+01,
0.28951   ,-5.49302e+01,-5.68667e+01,-5.37171e+01,-5.86100e+01,-4.76896e+01,-5.26228e+01,-5.33814e+01,-4.93178e+01,,         0.20333,-4.50000e+01,
0.32267   ,-5.49405e+01,-5.44257e+01,-5.31207e+01,-5.83922e+01,-4.68854e+01,-5.34918e+01,-5.19483e+01,-5.31000e+01,,         0.20500,-6.10000e+01,
0.35583   ,-5.16804e+01,-5.04414e+01,-5.02503e+01,-5.65999e+01,-4.56606e+01,-5.21019e+01,-4.84688e+01,-5.35937e+01,,         0.20667,-7.20000e+01,
0.38898   ,-5.31757e+01,-5.04958e+01,-5.06973e+01,-5.65655e+01,-4.86050e+01,-5.39739e+01,-4.92573e+01,-4.99701e+01,,         0.20833,-8.00000e+01,
0.42214   ,-5.49584e+01,-5.04942e+01,-5.06083e+01,-5.62068e+01,-4.67082e+01,-5.56176e+01,-4.64559e+01,-5.24038e+01,,         0.21000,-8.40000e+01,
0.45530   ,-5.51734e+01,-4.96365e+01,-5.03244e+01,-5.04334e+01,-4.63874e+01,-5.51184e+01,-4.48464e+01,-4.88825e+01,,         0.21167,-8.60000e+01,
0.48846   ,-5.54386e+01,-5.28611e+01,-5.22709e+01,-5.58369e+01,-4.86862e+01,-5.41769e+01,-4.81730e+01,-5.23189e+01,,         0.21333,-8.40000e+01,
0.52162   ,-5.63824e+01,-4.93239e+01,-5.40431e+01,-5.59894e+01,-4.85956e+01,-5.46169e+01,-5.04175e+01,-5.42637e+01,,         0.21500,-8.10000e+01,
0.55478   ,-5.47105e+01,-4.86444e+01,-5.27105e+01,-5.72966e+01,-4.96885e+01,-5.21753e+01,-4.90528e+01,-5.84998e+01,,         0.21667,-7.70000e+01,
0.58793   ,-5.25671e+01,-4.96195e+01,-5.24576e+01,-5.04243e+01,-4.62010e+01,-5.15895e+01,-4.95032e+01,-5.07274e+01,,         0.21833,-7.20000e+01,
0.62109   ,-5.25223e+01,-5.19370e+01,-5.20323e+01,-5.05206e+01,-4.38821e+01,-5.10261e+01,-5.08708e+01,-4.65841e+01,,         0.22000,-6.70000e+01,
0.65425   ,-5.69913e+01,-5.64260e+01,-5.34885e+01,-5.82822e+01,-4.39062e+01,-5.17272e+01,-5.06844e+01,-4.84499e+01,,         0.22167,-6.20000e+01,
0.68741   ,-5.91858e+01,-5.46244e+01,-5.38526e+01,-5.48194e+01,-5.15448e+01,-5.66525e+01,-4.82891e+01,-5.16312e+01,,         0.22333,-5.70000e+01,
0.72057   ,-5.73833e+01,-5.18798e+01,-5.22360e+01,-5.42955e+01,-4.94501e+01,-5.18971e+01,-5.26327e+01,-5.28616e+01,,         0.22500,-5.20000e+01,
0.75373   ,-5.56038e+01,-5.56928e+01,-5.76174e+01,-5.37038e+01,-4.94482e+01,-5.04895e+01,-5.04340e+01,-5.30595e+01,,         0.22667,-4.70000e+01,
0.78688   ,-5.73617e+01,-5.54135e+01,-5.30047e+01,-5.45087e+01,-4.42508e+01,-5.08569e+01,-5.35373e+01,-5.30398e+01,,         0.22833,-4.40000e+01,
0.82004   ,-5.67699e+01,-5.44951e+01,-5.03758e+01,-6.15364e+01,-4.32788e+01,-5.23417e+01,-5.52339e+01,-5.79315e+01,,         0.23000,-4.00000e+01,
0.85320   ,-5.42169e+01,-5.11368e+01,-5.01687e+01,-5.66652e+01,-4.16706e+01,-5.06755e+01,-5.34278e+01,-5.30103e+01,,         0.23167,-3.70000e+01,
0.88636   ,-5.46163e+01,-5.05968e+01,-4.95128e+01,-5.49390e+01,-4.36943e+01,-5.01764e+01,-5.19405e+01,-5.60340e+01,,         0.23333,-3.40000e+01,
0.91952   ,-5.43899e+01,-5.08789e+01,-4.97070e+01,-5.49002e+01,-4.39384e+01,-5.12635e+01,-5.22570e+01,-5.13716e+01,,         0.23500,-3.20000e+01,
0.95268   ,-5.50648e+01,-5.14088e+01,-4.94058e+01,-5.61768e+01,-4.46133e+01,-5.27879e+01,-5.26306e+01,-4.97078e+01,,         0.23667,-3.00000e+01,
0.98584   ,-5.50448e+01,-5.21703e+01,-4.95545e+01,-5.76288e+01,-4.53768e+01,-5.53406e+01,-5.41289e+01,-5.72682e+01,,         0.23833,-2.80000e+01,
1.01899   ,-5.69562e+01,-5.42980e+01,-4.95431e+01,-5.74096e+01,-4.43331e+01,-5.38329e+01,-5.46248e+01,-5.58298e+01,,         0.24000,-2.60000e+01,
1.05215   ,-5.50342e+01,-5.42237e+01,-5.10440e+01,-5.63165e+01,-4.34484e+01,-5.55924e+01,-5.60618e+01,-5.60344e+01,,         0.24167,-2.50000e+01,
1.08531   ,-5.49983e+01,-5.28302e+01,-5.06316e+01,-6.10954e+01,-4.21887e+01,-5.48279e+01,-5.45379e+01,-5.72709e+01,,         0.24333,-2.40000e+01,
1.11847   ,-5.68453e+01,-5.21984e+01,-4.94402e+01,-5.66500e+01,-4.51513e+01,-5.38366e+01,-5.16874e+01,-5.46939e+01,,         0.24500,-2.20000e+01,
1.15163   ,-5.58249e+01,-5.18313e+01,-4.92719e+01,-5.83917e+01,-4.41163e+01,-5.57234e+01,-5.18668e+01,-5.53844e+01,,         0.24667,-2.10000e+01,
1.18479   ,-5.51393e+01,-5.23904e+01,-4.68365e+01,-5.59305e+01,-4.49908e+01,-5.66429e+01,-5.16192e+01,-5.81864e+01,,         0.24833,-2.00000e+01,
1.21794   ,-5.44764e+01,-5.25773e+01,-4.83020e+01,-4.54763e+01,-4.56749e+01,-5.76393e+01,-5.16049e+01,-5.54230e+01,,         0.25000,-1.90000e+01,
1.25110   ,-5.49065e+01,-5.42994e+01,-4.90598e+01,-5.74512e+01,-4.72024e+01,-5.67534e+01,-5.28024e+01,-5.95641e+01,,         0.25167,-1.80000e+01,
1.28426   ,-5.68440e+01,-5.51459e+01,-5.01959e+01,-5.63739e+01,-4.30515e+01,-5.60825e+01,-5.54303e+01,-5.13165e+01,,         0.25333,-1.70000e+01,
1.31742   ,-5.53438e+01,-5.40414e+01,-4.99354e+01,-5.43037e+01,-4.23303e+01,-5.53238e+01,-5.59388e+01,-5.39301e+01,,         0.25500,-1.60000e+01,
1.35058   ,-5.54215e+01,-5.31477e+01,-4.99080e+01,-5.69788e+01,-4.18602e+01,-5.47490e+01,-5.34672e+01,-5.77107e+01,,         0.25667,-1.40000e+01,
1.38374   ,-5.55888e+01,-5.22468e+01,-4.89723e+01,-5.57696e+01,-4.29705e+01,-5.60045e+01,-5.15776e+01,-5.20246e+01,,         0.25833,-1.30000e+01,
1.41689   ,-5.50328e+01,-5.21470e+01,-4.88132e+01,-5.35030e+01,-4.46398e+01,-5.69936e+01,-5.06097e+01,-5.91677e+01,,         0.26000,-1.10000e+01,
1.45005   ,-5.44934e+01,-5.23952e+01,-4.88720e+01,-5.74356e+01,-4.53704e+01,-5.75037e+01,-5.10887e+01,-5.58695e+01,,         0.26167,-1.00000e+01,
1.48321   ,-5.43839e+01,-5.26783e+01,-4.88432e+01,-5.83025e+01,-4.66433e+01,-5.80844e+01,-5.11727e+01,-5.50735e+01,,         0.26333,-8.00000e+00,
1.51637   ,-5.64405e+01,-5.60547e+01,-4.97794e+01,-5.58966e+01,-4.39927e+01,-5.58987e+01,-5.33176e+01,-5.53067e+01,,         0.26500,-7.00000e+00,
1.54953   ,-5.61866e+01,-5.47564e+01,-4.93969e+01,-5.79712e+01,-4.30733e+01,-5.48809e+01,-5.57614e+01,-5.13858e+01,,         0.26667,-6.00000e+00,
1.58269   ,-5.59868e+01,-5.33399e+01,-4.97064e+01,-5.34436e+01,-4.19354e+01,-5.33744e+01,-5.57628e+01,-5.29509e+01,,         0.26833,-5.00000e+00,
1.61584   ,-5.68533e+01,-5.16920e+01,-4.85251e+01,-5.52495e+01,-4.20467e+01,-5.54790e+01,-5.38093e+01,-5.41845e+01,,         0.27000,-3.00000e+00,
1.64900   ,-5.63252e+01,-5.15816e+01,-4.93985e+01,-5.82269e+01,-4.58964e+01,-5.39663e+01,-5.32232e+01,-5.54524e+01,,         0.27167,-2.00000e+00,
1.68216   ,-5.67531e+01,-5.09827e+01,-5.05477e+01,-5.68126e+01,-4.74160e+01,-5.40593e+01,-5.41963e+01,-5.34316e+01,,         0.27333,-1.00000e+00,
1.71532   ,-5.65922e+01,-5.04055e+01,-5.15924e+01,-5.56701e+01,-4.87548e+01,-5.34116e+01,-5.31008e+01,-5.72203e+01,,         0.27500,0.00000e+00,
1.74848   ,-5.57431e+01,-5.35643e+01,-5.53141e+01,-5.59754e+01,-5.38480e+01,-5.18988e+01,-5.59445e+01,-5.61012e+01,,         0.27667,2.00000e+00,
1.78164   ,-5.52376e+01,-5.43048e+01,-5.53327e+01,-5.73529e+01,-4.80135e+01,-5.24409e+01,-5.34260e+01,-5.30266e+01,,         0.27833,3.00000e+00,
1.81480   ,-5.50473e+01,-5.44220e+01,-5.34312e+01,-5.93812e+01,-4.67524e+01,-5.29468e+01,-5.37912e+01,-4.95196e+01,,         0.28000,4.00000e+00,
1.84795   ,-5.31196e+01,-5.16138e+01,-5.26125e+01,-5.67602e+01,-4.65710e+01,-5.28582e+01,-5.18634e+01,-5.35171e+01,,         0.28167,6.00000e+00,
1.88111   ,-5.18687e+01,-4.97053e+01,-5.11508e+01,-5.01848e+01,-4.87918e+01,-5.20025e+01,-4.97325e+01,-5.26394e+01,,         0.28333,7.00000e+00,
1.91427   ,-5.50268e+01,-5.02091e+01,-5.04245e+01,-5.61224e+01,-4.77734e+01,-5.37027e+01,-4.85021e+01,-5.31225e+01,,         0.28500,8.00000e+00,
1.94743   ,-5.45706e+01,-5.02041e+01,-5.10916e+01,-5.60183e+01,-4.67549e+01,-5.47812e+01,-4.60414e+01,-5.05485e+01,,         0.28667,1.00000e+01,
1.98059   ,-5.33655e+01,-5.00913e+01,-5.12940e+01,-5.60511e+01,-4.79804e+01,-5.52722e+01,-4.54376e+01,-5.11342e+01,,         0.28833,1.10000e+01,
2.01375   ,-5.42735e+01,-5.11997e+01,-5.34805e+01,-5.60825e+01,-4.75646e+01,-5.50352e+01,-4.87670e+01,-5.30981e+01,,         0.29000,1.10000e+01,
2.04690   ,-5.44712e+01,-4.89022e+01,-5.27254e+01,-5.40700e+01,-4.86722e+01,-5.37875e+01,-5.04269e+01,-5.38053e+01,,         0.29167,1.20000e+01,
2.08006   ,-5.24873e+01,-4.88235e+01,-5.25843e+01,-5.32841e+01,-4.80438e+01,-5.30270e+01,-4.95741e+01,-4.67370e+01,,         0.29333,1.20000e+01,
2.11322   ,-4.95289e+01,-4.86544e+01,-4.97392e+01,-5.81030e+01,-4.41960e+01,-5.31370e+01,-4.99530e+01,-4.78297e+01,,         0.29500,1.20000e+01,
2.14638   ,-5.12262e+01,-5.08422e+01,-5.23403e+01,-5.48120e+01,-4.44265e+01,-5.24939e+01,-5.21602e+01,-4.85759e+01,,         0.29667,1.20000e+01,
2.17954   ,-5.47632e+01,-5.70077e+01,-5.58644e+01,-5.85431e+01,-4.43052e+01,-5.24530e+01,-5.08819e+01,-4.98314e+01,,         0.29833,1.10000e+01,
2.21270   ,-5.81726e+01,-5.40361e+01,-5.33472e+01,-5.68313e+01,-5.11771e+01,-5.88923e+01,-4.82613e+01,-5.22993e+01,,         0.30000,1.00000e+01,
2.24585   ,-5.93644e+01,-5.20866e+01,-5.26451e+01,-5.54054e+01,-4.93015e+01,-5.10193e+01,-5.07575e+01,-5.62061e+01,,         0.30167,9.00000e+00,
2.27901   ,-5.72283e+01,-5.56733e+01,-5.52818e+01,-5.97133e+01,-4.73964e+01,-4.97844e+01,-5.60212e+01,-5.50565e+01,,         0.30333,8.00000e+00,
2.31217   ,-5.68845e+01,-5.46778e+01,-5.40413e+01,-5.89581e+01,-4.46982e+01,-5.07322e+01,-5.53275e+01,-5.32126e+01,,         0.30500,6.00000e+00,
2.34533   ,-5.59392e+01,-5.28134e+01,-5.06862e+01,-5.88980e+01,-4.33231e+01,-5.11178e+01,-5.61788e+01,-5.59903e+01,,         0.30667,5.00000e+00,
2.37849   ,-5.43131e+01,-5.08394e+01,-5.03564e+01,-5.83548e+01,-4.47645e+01,-5.03879e+01,-5.30638e+01,-5.34894e+01,,         0.30833,3.00000e+00,
2.41165   ,-5.45167e+01,-5.05483e+01,-4.98697e+01,-5.42888e+01,-4.36713e+01,-5.11290e+01,-5.32277e+01,-5.42752e+01,,         0.31000,1.00000e+00,
2.44480   ,-5.46235e+01,-5.09690e+01,-4.91453e+01,-5.29115e+01,-4.41706e+01,-5.27301e+01,-5.24712e+01,-5.29163e+01,,         0.31167,0.00000e+00,
2.47796   ,-5.49927e+01,-5.09794e+01,-4.90385e+01,-5.82321e+01,-4.48686e+01,-5.46462e+01,-5.18393e+01,-5.35462e+01,,         0.31333,-1.00000e+00,
2.51112   ,-5.58883e+01,-5.37062e+01,-4.94452e+01,-5.75767e+01,-4.96817e+01,-5.40615e+01,-5.39608e+01,-5.92465e+01,,         0.31500,-3.00000e+00,
2.54428   ,-5.64602e+01,-5.48636e+01,-5.07953e+01,-5.70477e+01,-4.35783e+01,-5.58208e+01,-5.62748e+01,-5.55668e+01,,         0.31667,-3.00000e+00,
2.57744   ,-5.45068e+01,-5.32753e+01,-5.03775e+01,-5.80255e+01,-4.19172e+01,-5.53604e+01,-5.26937e+01,-5.74145e+01,,         0.31833,-4.00000e+00,
2.61060   ,-5.53184e+01,-5.12670e+01,-4.93312e+01,-5.94669e+01,-4.16587e+01,-5.35838e+01,-5.35737e+01,-5.58653e+01,,         0.32000,-4.00000e+00,
2.64376   ,-5.58030e+01,-5.16423e+01,-4.89335e+01,-5.60717e+01,-4.36299e+01,-5.55604e+01,-5.07479e+01,-5.86711e+01,,         0.32167,-4.00000e+00,
2.67691   ,-5.51313e+01,-5.15613e+01,-4.80406e+01,-5.18577e+01,-4.45387e+01,-5.65425e+01,-5.11148e+01,-5.75094e+01,,         0.32333,-4.00000e+00,
2.71007   ,-5.46796e+01,-5.17479e+01,-4.89439e+01,-5.78689e+01,-4.52001e+01,-5.77891e+01,-4.94595e+01,-5.70084e+01,,         0.32500,-3.00000e+00,
2.74323   ,-5.42446e+01,-5.26641e+01,-4.87940e+01,-5.88937e+01,-4.66122e+01,-5.81300e+01,-5.04771e+01,-5.77492e+01,,         0.32667,-3.00000e+00,
2.77639   ,-5.66150e+01,-5.57584e+01,-4.94670e+01,-5.83619e+01,-4.42884e+01,-5.54058e+01,-5.50531e+01,-5.61967e+01,,         0.32833,-2.00000e+00,
2.80955   ,-5.51636e+01,-5.53058e+01,-5.07708e+01,-5.64618e+01,-4.26193e+01,-5.58971e+01,-5.51219e+01,-5.46083e+01,,         0.33000,-2.00000e+00,
2.84271   ,-5.49935e+01,-5.37762e+01,-5.10806e+01,-6.01588e+01,-4.17242e+01,-5.50778e+01,-5.56979e+01,-5.66195e+01,,         0.33167,-2.00000e+00,
2.87586   ,-5.63023e+01,-5.21889e+01,-4.91440e+01,-5.79199e+01,-4.23760e+01,-5.52006e+01,-5.19609e+01,-5.46757e+01,,         0.33333,-3.00000e+00,
2.90902   ,-5.60005e+01,-5.18211e+01,-4.93545e+01,-5.42391e+01,-4.38012e+01,-5.71450e+01,-5.08801e+01,-5.71265e+01,,         0.33500,-3.00000e+00,
2.94218   ,-5.55672e+01,-5.17992e+01,-4.93418e+01,-5.10503e+01,-4.46790e+01,-5.76158e+01,-5.04886e+01,-5.50500e+01,,         0.33667,-4.00000e+00,
2.97534   ,-5.49611e+01,-5.20168e+01,-4.90029e+01,-5.27198e+01,-4.55170e+01,-5.78767e+01,-4.98758e+01,-5.72315e+01,,         0.33833,-4.00000e+00,
3.00850   ,-5.43414e+01,-5.47462e+01,-4.96954e+01,-6.09170e+01,-4.70010e+01,-5.72410e+01,-5.17477e+01,-5.73753e+01,,         0.34000,-4.00000e+00,
3.04166   ,-5.79701e+01,-5.63828e+01,-5.00509e+01,-5.70559e+01,-4.31867e+01,-5.60271e+01,-5.57692e+01,-5.38370e+01,,         0.34167,-5.00000e+00,
3.07481   ,-5.53451e+01,-5.52708e+01,-4.99250e+01,-5.90286e+01,-4.14120e+01,-5.53417e+01,-5.50840e+01,-5.43670e+01,,         0.34333,-5.00000e+00,
3.10797   ,-5.55189e+01,-5.40675e+01,-4.97971e+01,-5.69609e+01,-4.16324e+01,-5.52052e+01,-5.36007e+01,-5.62117e+01,,         0.34500,-5.00000e+00,
3.14113   ,-5.62749e+01,-5.18939e+01,-4.91347e+01,-5.87525e+01,-4.26913e+01,-5.76831e+01,-5.22966e+01,-5.44773e+01,,         0.34667,-5.00000e+00,
3.17429   ,-5.63144e+01,-5.17558e+01,-4.87927e+01,-5.33659e+01,-4.43390e+01,-5.79390e+01,-5.07719e+01,-5.58576e+01,,         0.34833,-4.00000e+00,
3.20745   ,-5.60879e+01,-5.13223e+01,-4.89133e+01,-5.80092e+01,-4.59671e+01,-5.53044e+01,-5.09003e+01,-5.69457e+01,,         0.35000,-3.00000e+00,
3.24061   ,-5.54509e+01,-5.13349e+01,-4.92295e+01,-5.63009e+01,-4.79391e+01,-5.48550e+01,-5.20156e+01,-5.50915e+01,,         0.35167,-2.00000e+00,
3.27376   ,-5.65728e+01,-5.46850e+01,-5.01891e+01,-5.94604e+01,-4.57854e+01,-5.73053e+01,-5.52070e+01,-5.42353e+01,,         0.35333,1.00000e+00,
3.30692   ,-5.69303e+01,-5.50391e+01,-4.76196e+01,-6.11113e+01,-4.48636e+01,-5.57369e+01,-5.37531e+01,-5.12721e+01,,         0.35500,5.00000e+00,
3.34008   ,-5.43623e+01,-5.37864e+01,-5.07363e+01,-6.17760e+01,-4.41647e+01,-5.51801e+01,-5.12721e+01,-5.30938e+01,,         0.35667,1.00000e+01,
3.37324   ,-5.41691e+01,-5.11116e+01,-5.39690e+01,-5.52914e+01,-4.31591e+01,-5.31248e+01,-5.16441e+01,-4.97758e+01,,         0.35833,1.60000e+01,
3.40640   ,-5.51185e+01,-4.97408e+01,-5.50469e+01,-5.32167e+01,-4.77680e+01,-5.17759e+01,-5.35252e+01,-5.13172e+01,,         0.36000,2.20000e+01,
