Grayscale intensity in dB


TIC Param Data,
,MGrad.:,MGT:,Grad.:,ArT:,TtoP:,PI:,TWH:,TWR:,AUC:,WiAUC:,WoAUC:,
Trace 1 :,22.5198,17.2315,91.1895,0.175831,0.117221,-44.0475,6.09548,0.00292545,-0.974281,0.497736,-1.47202,
Trace 2 :,22.811,16.2937,69.5289,0.175831,0.117221,-44.8354,23.6786,0.00292545,-30.866,0.250718,-31.1167,
Trace 3 :,34.1865,22.3892,0.515078,0.175831,21.51,-46.7074,31.4152,1.15171,91.7158,67.9788,23.737,
Trace 4 :,21.468,34.8146,1.48844,0.175831,5.27494,-45.6244,17.9934,0.151094,-86.8765,5.46546,-92.3419,
Trace 5 :,20.3956,36.2212,49.1311,0.175831,0.117221,-49.3331,4.04412,0.00292545,-53.3139,0.0886512,-53.4026,
Trace 6 :,24.3692,13.7148,0.652537,0.175831,9.67072,-53.2866,5.45077,0.316908,-14.814,0.861242,-15.6753,
Trace 7 :,25.7357,23.3269,0.628019,0.175831,9.37766,-47.1585,29.3638,0.304381,-97.2308,-13.0182,-84.2126,
Trace 8 :,22.0884,0.175831,0.317356,0.175831,26.8436,-53.9244,22.2133,2.0118,88.7348,35.8628,52.872,

Start and End time Infomation
,Start time:,End time:
Trace 1 :,0.221667,40.4117,
Trace 2 :,0.221667,40.4117,
Trace 3 :,0.221667,40.4117,
Trace 4 :,0.221667,40.4117,
Trace 5 :,0.221667,40.4117,
Trace 6 :,0.221667,40.4117,
Trace 7 :,0.221667,40.4117,
Trace 8 :,0.221667,40.4117,

Sample Area Infomation
,Color:,Type:,Height:,Width:,Tilt angle:
Trace 1 :,Yellow,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 2 :,LightBlue,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 3 :,Red,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 4 :,Green,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 5 :,Orange,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 6 :,Purple,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 7 :,Gray,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 8 :,Blue,Ellipse,1.0 mm,1.0 mm,-27 deg

Trace settings
Smoothing Type:,Off
Motion Tracking:,Off


Time (s) :,Trace 1(Yellow):,Trace 2(LightBlue):,Trace 3(Red):,Trace 4(Green):,Trace 5(Orange):,Trace 6(Purple):,Trace 7(Gray):,Trace 8(Blue):,	Ecg :,		
0.22507   ,-5.47368e+01,-5.29857e+01,-5.77867e+01,-5.34758e+01,-5.50923e+01,-5.95971e+01,-5.30478e+01,-6.24434e+01,,         0.22333,-6.00000e+00,
