Grayscale intensity in dB


TIC Param Data,
,MGrad.:,MGT:,Grad.:,ArT:,TtoP:,PI:,TWH:,TWR:,AUC:,WiAUC:,WoAUC:,
Trace 1 :,45.5455,1.58248,1.71298,0.234442,7.09186,-38.1621,22.2133,0.217065,-6.03194,5.94382,-11.9758,
Trace 2 :,35.0559,0.351663,57.3556,0.234442,0.293052,-38.1654,1.64109,0.0074246,182.27,1.84848,180.421,
Trace 3 :,40.9491,18.4037,0.822284,0.234442,16.6454,-38.1136,13.7734,0.720013,49.514,31.6994,17.8147,
Trace 4 :,33.6141,1.58248,1.02763,0.234442,6.38853,-40.4099,15.2973,0.191417,-121.636,-15.2663,-106.369,
Trace 5 :,35.4605,1.58248,0.893484,0.234442,10.7257,-39.1504,15.7076,0.369371,-117.248,-26.6932,-90.5545,
Trace 6 :,35.6502,35.8696,0.0121891,0.234442,35.6937,-55.4218,35.6937,8.77052,-291.528,-261.034,-30.4941,
Trace 7 :,30.4075,9.37766,0.182227,0.234442,29.5983,-42.6322,35.8696,2.91172,6.59087,-1.67417,8.26505,
Trace 8 :,23.2815,21.9789,0.137957,0.234442,21.9203,-54.5895,18.5795,1.2285,-85.0079,-45.7956,-39.2123,

Start and End time Infomation
,Start time:,End time:
Trace 1 :,0.23,40.0467,
Trace 2 :,0.23,40.0467,
Trace 3 :,0.23,40.0467,
Trace 4 :,0.23,40.0467,
Trace 5 :,0.23,40.0467,
Trace 6 :,0.23,40.0467,
Trace 7 :,0.23,40.0467,
Trace 8 :,0.23,40.0467,

Sample Area Infomation
,Color:,Type:,Height:,Width:,Tilt angle:
Trace 1 :,Yellow,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 2 :,LightBlue,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 3 :,Red,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 4 :,Green,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 5 :,Orange,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 6 :,Purple,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 7 :,Gray,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 8 :,Blue,Ellipse,1.0 mm,1.0 mm,-27 deg

Trace settings
Smoothing Type:,Off
Motion Tracking:,Off


Time (s) :,Trace 1(Yellow):,Trace 2(LightBlue):,Trace 3(Red):,Trace 4(Green):,Trace 5(Orange):,Trace 6(Purple):,Trace 7(Gray):,Trace 8(Blue):,	Ecg :,		
