Grayscale intensity in dB


TIC Param Data,
,MGrad.:,MGT:,Grad.:,ArT:,TtoP:,PI:,TWH:,TWR:,AUC:,WiAUC:,WoAUC:,
Trace 1 :,16.4002,29.4889,0.238376,0.04795,29.5848,-44.4812,23.9747,2.80455,38.0703,28.5732,9.49713,
Trace 2 :,9.57736,35.003,0.103204,0.04795,18.94,-34.0599,6.37726,0.893665,-25.0488,-4.07931,-20.9695,
Trace 3 :,11.9982,19.3236,0.277385,0.04795,21.5293,-48.0735,30.9753,1.15722,63.1555,33.8478,29.3078,
Trace 4 :,28.1168,12.0353,0.183487,0.04795,40.0857,-38.6631,2.39747,836.006,37.1931,36.8532,0.339966,
Trace 5 :,20.3666,10.453,0.260094,0.04795,10.7886,-42.847,14.7684,0.367647,-17.6779,0.85008,-18.528,
Trace 6 :,11.2944,15.8712,0.136957,0.04795,22.4403,-46.5254,19.899,1.26829,2.59601,-5.92259,8.5186,
Trace 7 :,19.8609,39.8459,0.18153,0.04795,39.4623,-44.7099,20.0428,58.7857,104.249,101.1,3.14908,
Trace 8 :,12.7579,17.7413,0.0856438,0.04795,23.7829,-39.8212,20.6182,1.45455,8.72235,5.60711,3.11524,

Start and End time Infomation
,Start time:,End time:
Trace 1 :,0.085,40.2201,
Trace 2 :,0.085,40.2201,
Trace 3 :,0.085,40.2201,
Trace 4 :,0.085,40.2201,
Trace 5 :,0.085,40.2201,
Trace 6 :,0.085,40.2201,
Trace 7 :,0.085,40.2201,
Trace 8 :,0.085,40.2201,

Sample Area Infomation
,Color:,Type:,Height:,Width:,Tilt angle:
Trace 1 :,Yellow,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 2 :,LightBlue,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 3 :,Red,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 4 :,Green,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 5 :,Orange,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 6 :,Purple,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 7 :,Gray,Ellipse,1.0 mm,1.0 mm,-27 deg
Trace 8 :,Blue,Ellipse,1.0 mm,1.0 mm,-27 deg

Trace settings
Smoothing Type:,Off
Motion Tracking:,Off


Time (s) :,Trace 1(Yellow):,Trace 2(LightBlue):,Trace 3(Red):,Trace 4(Green):,Trace 5(Orange):,Trace 6(Purple):,Trace 7(Gray):,Trace 8(Blue):,	Ecg :,		
0.08649   ,-5.15335e+01,-3.60146e+01,-5.40454e+01,-4.60183e+01,-4.56531e+01,-4.95988e+01,-5.18735e+01,-4.18580e+01,,         0.08500,-4.00000e+00,
0.13444   ,-5.19379e+01,-3.58424e+01,-5.45781e+01,-4.64073e+01,-4.63897e+01,-4.88958e+01,-5.20592e+01,-4.27818e+01,,         0.08667,-2.20000e+01,
0.18239   ,-5.03219e+01,-3.55075e+01,-5.39819e+01,-4.43597e+01,-4.69639e+01,-4.84446e+01,-5.04904e+01,-4.30158e+01,,         0.08833,-3.80000e+01,
0.23034   ,-5.05374e+01,-3.63563e+01,-5.39334e+01,-4.58437e+01,-4.79132e+01,-4.82441e+01,-5.07248e+01,-4.31976e+01,,         0.09000,-5.10000e+01,
0.27829   ,-5.15354e+01,-3.64195e+01,-5.30378e+01,-4.70306e+01,-4.66438e+01,-4.88238e+01,-5.10418e+01,-4.25755e+01,,         0.09167,-6.20000e+01,
0.32624   ,-5.17230e+01,-3.65215e+01,-5.40864e+01,-4.78102e+01,-4.45175e+01,-4.90156e+01,-4.72013e+01,-4.20000e+01,,         0.09333,-6.90000e+01,
0.37419   ,-5.11649e+01,-3.64477e+01,-5.28219e+01,-4.80222e+01,-4.57669e+01,-4.97478e+01,-4.84584e+01,-4.17786e+01,,         0.09500,-7.40000e+01,
0.42213   ,-4.90323e+01,-3.62362e+01,-5.31672e+01,-4.73935e+01,-4.49405e+01,-5.03774e+01,-4.82554e+01,-4.12251e+01,,         0.09667,-7.50000e+01,
0.47008   ,-5.08257e+01,-3.69495e+01,-5.16362e+01,-4.68816e+01,-4.46042e+01,-4.99218e+01,-4.87314e+01,-4.19493e+01,,         0.09833,-7.50000e+01,
0.51803   ,-5.14150e+01,-3.80553e+01,-5.29677e+01,-4.39367e+01,-4.47409e+01,-4.92136e+01,-4.65286e+01,-4.16336e+01,,         0.10000,-7.30000e+01,
0.56598   ,-5.14040e+01,-3.82077e+01,-5.27771e+01,-4.32003e+01,-4.44406e+01,-4.95366e+01,-4.73116e+01,-4.19903e+01,,         0.10167,-6.90000e+01,
0.61393   ,-5.07083e+01,-3.86635e+01,-5.25137e+01,-4.34461e+01,-4.37574e+01,-4.97685e+01,-4.71243e+01,-4.16120e+01,,         0.10333,-6.50000e+01,
0.66188   ,-5.02021e+01,-3.75303e+01,-5.29776e+01,-4.62336e+01,-4.31389e+01,-4.88270e+01,-4.98959e+01,-4.14707e+01,,         0.10500,-6.00000e+01,
0.70983   ,-4.85062e+01,-3.81365e+01,-5.31164e+01,-4.49527e+01,-4.35955e+01,-4.87113e+01,-4.99073e+01,-4.16146e+01,,         0.10667,-5.50000e+01,
0.75778   ,-4.93131e+01,-3.84028e+01,-5.23992e+01,-4.39007e+01,-4.39568e+01,-4.89335e+01,-4.76029e+01,-4.16569e+01,,         0.10833,-5.00000e+01,
0.80573   ,-4.98644e+01,-3.83577e+01,-5.24574e+01,-4.42349e+01,-4.43539e+01,-4.92205e+01,-4.67549e+01,-4.18322e+01,,         0.11000,-4.40000e+01,
0.85368   ,-5.21610e+01,-3.87316e+01,-5.08973e+01,-4.39810e+01,-4.36731e+01,-4.91571e+01,-4.73597e+01,-4.14266e+01,,         0.11167,-3.90000e+01,
0.90163   ,-5.13176e+01,-3.79098e+01,-5.21509e+01,-4.58016e+01,-4.39429e+01,-4.92304e+01,-4.98502e+01,-4.13642e+01,,         0.11333,-3.40000e+01,
